,site,product_group,bl_number,ship_to_customer,ship_to_city,state,net_pick_weight,total_number_of_pallet,lat,lng,coordinates,cluster
0,AMJK,SW,W44A025,SMART PACK,BIRMINGHAM,AL,26936.0,20,33.5279,-86.7971,"(33.5279, -86.7971)",0
1,AMJK,SW,W44A407,BARNES PAPER COMPANY INC,BIRMINGHAM,AL,10304.0,8,33.5279,-86.7971,"(33.5279, -86.7971)",0
2,AMJK,SW,W44A387,LINEAGE LOGISTICS LLC,DOTHAN,AL,6602.0,6,31.2336,-85.407,"(31.2336, -85.407)",1
3,AMJK,SW,W43B386,APEX PACKAGING,HUNTSVILLE,AL,15456.0,12,34.6981,-86.6412,"(34.6981, -86.6412)",2
4,AMJK,SW,W26A155,COPACO/MONTGOMERY,MONTGOMERY,AL,5504.0,4,32.3482,-86.2668,"(32.3482, -86.2668)",3
5,AMJK,SW,W36A411,DOLLAR GENERAL-MONTGOMERY,MONTGOMERY,AL,4460.0,10,32.3482,-86.2668,"(32.3482, -86.2668)",3
6,AMJK,SW,W36A472,NATURES EARTH PRODUCTS,REFORM,AL,5120.0,4,33.3788,-88.0173,"(33.3788, -88.0173)",4
7,AMJK,SW,W43A800,SIGMA SUPPLY OF NORTH AMERICA,HOT SPRINGS,AR,172800.0,100,34.4892,-93.0501,"(34.4892, -93.0501)",5
8,AMJK,SW,WWCA622,"NICE-PAK PRODUCTS, INC.",JONESBORO,AR,27234.0,18,35.8212,-90.6791,"(35.8212, -90.6791)",6
9,AMJK,SW,WWCA819,MEMCO,JONESBORO,AR,25828.0,40,35.8212,-90.6791,"(35.8212, -90.6791)",6
10,AMJK,SW,W26A873,"JOFFROY GROUP, INC.",NOGALES,AZ,9440.0,10,31.3624,-110.9336,"(31.3624, -110.9336)",7
11,AMJK,SW,WWCA026,LINESETS,PHOENIX,AZ,6400.0,5,33.5722,-112.0892,"(33.5722, -112.0892)",8
12,AMJK,SW,W26B160,VANCOUVER TRUCK TERMINAL DC2 WPINNOVA,RICHMOND,BC,30402.0,24,49.1667,-123.1333,"(49.1667, -123.1333)",9
13,AMJK,SW,W26A950,FIRST PACKAGING SYSTEMS,CHINO,CA,2230.0,2,33.9836,-117.6654,"(33.9836, -117.6654)",10
14,AMJK,SW,W44A288,TRM MANUFACTURING,CORONA,CA,43446.0,34,33.8616,-117.5649,"(33.8616, -117.5649)",10
15,AMJK,SW,W44B011,TRM MANUFACTURING,CORONA,CA,2560.0,2,33.8616,-117.5649,"(33.8616, -117.5649)",10
16,AMJK,SW,WWCA767,DORRIS LUMBER,DORRIS,CA,5400.0,5,41.9644,-121.9205,"(41.9644, -121.9205)",11
17,AMJK,SW,W26A768,MDM PACKAGING & SUPPLIES,FONTANA,CA,5810.0,11,34.0968,-117.4599,"(34.0968, -117.4599)",10
18,AMJK,SW,WWCA562,MDM PACKAGING & SUPPLIES,FONTANA,CA,3859.0,5,34.0968,-117.4599,"(34.0968, -117.4599)",10
19,AMJK,SW,WWCA660,ECO LAB -OHL GEODIS,FONTANA,CA,4808.0,4,34.0968,-117.4599,"(34.0968, -117.4599)",10
20,AMJK,SW,W44A283,MID VALLEY PACKAGING & SUPPLY CO.,FOWLER,CA,44800.0,35,36.6243,-119.6737,"(36.6243, -119.6737)",12
21,AMJK,SW,W44A367,DESIGN PACKAGING,FRESNO,CA,9758.0,7,36.783,-119.7939,"(36.783, -119.7939)",12
22,AMJK,SW,WWCA478,IRON MOUNTAIN,FRESNO,CA,1348.0,1,36.783,-119.7939,"(36.783, -119.7939)",12
23,AMJK,SW,W25D059,MLR PACKAGING SUPPLY AND EQUIPMENT,FULLERTON,CA,16981.0,15,33.8841,-117.9279,"(33.8841, -117.9279)",10
24,AMJK,SW,W36A536,LINEAGE LOGISTICS LLC,FULLERTON,CA,2526.0,6,33.8841,-117.9279,"(33.8841, -117.9279)",10
25,AMJK,SW,W26B185,SHINE IMPEX INC,HAYWARD,CA,3072.0,2,37.6328,-122.0766,"(37.6328, -122.0766)",13
26,AMJK,SW,WWCA733,SHINE IMPEX INC,HAYWARD,CA,8295.0,5,37.6328,-122.0766,"(37.6328, -122.0766)",13
27,AMJK,SW,WWCB732,SHINE IMPEX INC,HAYWARD,CA,32981.0,24,37.6328,-122.0766,"(37.6328, -122.0766)",13
28,AMJK,SW,WWCA899,IKEA DISTRIBUTION SERVICES INC-945,LEBEC,CA,8850.0,6,34.845,-118.8992,"(34.845, -118.8992)",14
29,AMJK,SW,W36A525,US FOOD-SAN FRANCISCO-AVENDRA,LIVERMORE,CA,28940.0,20,37.6868,-121.7607,"(37.6868, -121.7607)",13
30,AMJK,SW,W36A528,US FOODS-SACRAMENTO,MCCLELLAN,CA,28940.0,20,38.6627128837491,-121.41554915092986,"(38.6627128837491, -121.41554915092986)",13
31,AMJK,SW,W43A858,GRAHAM PACKAGING PET TECH,MODESTO,CA,15996.0,12,37.6375,-121.0028,"(37.6375, -121.0028)",13
32,AMJK,SW,W44A021,KENT H LANDSBERG COMPANY,MONTEBELLO,CA,10031.0,7,34.0155,-118.1108,"(34.0155, -118.1108)",10
33,AMJK,SW,WX1A029,JET SALES,PICO RIVERA,CA,2538.0,2,33.9901,-118.0888,"(33.9901, -118.0888)",10
34,AMJK,SW,W43B086,RENEW PACKAGING SOULTIONS (RIVER CITY),RANCHO CORDOVA,CA,29440.0,23,38.5737,-121.2527,"(38.5737, -121.2527)",13
35,AMJK,SW,W44A478,RENEW PACKAGING SOULTIONS (RIVER CITY),RANCHO CORDOVA,CA,43336.0,37,38.5737,-121.2527,"(38.5737, -121.2527)",13
36,AMJK,SW,W26A828,AMERIMAX HOME PRODUCTS RETAIL CA,SACRAMENTO,CA,2520.0,2,38.5677,-121.4685,"(38.5677, -121.4685)",13
37,AMJK,SW,WWCB436,CONTINENTAL WESTERN CORPORATION,SAN LEANDRO,CA,18096.0,14,37.7074,-122.1599,"(37.7074, -122.1599)",13
38,AMJK,SW,W26A677,CONTINENTAL WESTERN CORP LOS ANGELES,SANTA FE SPRINGS,CA,11075.0,13,33.9329,-118.0625,"(33.9329, -118.0625)",10
39,AMJK,SW,W43A556,ASSOCIATED PACKAGING,SANTA FE SPRINGS,CA,6300.0,5,33.9329,-118.0625,"(33.9329, -118.0625)",10
40,AMJK,SW,W44A341,ASSOCIATED PACKAGING,STOCKTON,CA,2978.0,2,37.9765,-121.3109,"(37.9765, -121.3109)",13
41,AMJK,SW,W44A408,ASSOCIATED PACKAGING,STOCKTON,CA,33202.0,24,37.9765,-121.3109,"(37.9765, -121.3109)",13
42,AMJK,SW,W44A471,ASSOCIATED PACKAGING,STOCKTON,CA,17016.0,12,37.9765,-121.3109,"(37.9765, -121.3109)",13
43,AMJK,SW,W44A208,WESTERN PLASTICS - (CA),TEMECULA,CA,27200.0,20,33.4928,-117.1315,"(33.4928, -117.1315)",10
44,AMJK,SW,W26B124,IRON MOUNTAIN,TRACY,CA,1306.0,1,37.7269,-121.4523,"(37.7269, -121.4523)",13
45,AMJK,SW,W44A458,PEMKO MFG CO,VENTURA,CA,10240.0,8,34.274647,-119.229034,"(34.274647, -119.229034)",14
46,AMJK,SW,W44A276,"LINEAGE LOGISTICS PFS, LLC",VERNON,CA,12867.0,15,34.0019,-118.2105,"(34.0019, -118.2105)",10
47,AMJK,SW,W25A440,KELLY SPICERS,WALNUT,CA,2560.0,2,34.0334,-117.8593,"(34.0334, -117.8593)",10
48,AMJK,SW,W36A517,KELLY SPICERS,WALNUT,CA,7420.0,20,34.0334,-117.8593,"(34.0334, -117.8593)",10
49,AMJK,SW,W42B607,KELLY SPICERS,WALNUT,CA,3780.0,3,34.0334,-117.8593,"(34.0334, -117.8593)",10
50,AMJK,SW,W43B191,KELLY SPICERS,WALNUT,CA,7984.0,8,34.0334,-117.8593,"(34.0334, -117.8593)",10
51,AMJK,SW,W36A381,NEWAY PACKAGING,COMMERCE CITY,CO,12927.0,10,39.8641,-104.843,"(39.8641, -104.843)",15
52,AMJK,SW,W43C090,NEWAY PACKAGING,COMMERCE CITY,CO,54232.0,40,39.8641,-104.843,"(39.8641, -104.843)",15
53,AMJK,SW,WWCA429,NEWAY PACKAGING,COMMERCE CITY,CO,8402.0,7,39.8641,-104.843,"(39.8641, -104.843)",15
54,AMJK,SW,W44A425,NEW HAVEN MOVING EQUIPMENT OF DENVER,DENVER,CO,48948.0,32,39.762,-104.8758,"(39.762, -104.8758)",15
55,AMJK,SW,WWCA432,GULF PACKAGING - COLORADO,DENVER,CO,3110.0,2,39.762,-104.8758,"(39.762, -104.8758)",15
56,AMJK,SW,W44A359,LINEAGE LOGISTICS LLC,WINDSOR,CO,40920.0,48,40.469,-104.9198,"(40.469, -104.9198)",15
58,AMJK,SW,W36A627,MONIN INC,CLEARWATER,FL,2894.0,2,27.979,-82.7623,"(27.979, -82.7623)",16
59,AMJK,SW,W43B739,ABLE TAPE AND PACKAGING,CLEARWATER,FL,15878.0,19,27.979,-82.7623,"(27.979, -82.7623)",16
60,AMJK,SW,W26A879,DAYTONA BEVERAGES,DAYTONA BEACH,FL,7235.0,5,29.1995,-81.0982,"(29.1995, -81.0982)",16
61,AMJK,SW,W36A468,BROWARD PAPER & PKG,FORT LAUDERDALE,FL,10966.0,10,26.1412,-80.1464,"(26.1412, -80.1464)",17
62,AMJK,SW,W26A913,"SYSCO INTERNATIONAL FOOD GROUP, INC 344",JACKSONVILLE,FL,6403.0,19,30.3322,-81.6749,"(30.3322, -81.6749)",18
63,AMJK,SW,W43A339,FASTPAK JAX,JACKSONVILLE,FL,2560.0,2,30.3322,-81.6749,"(30.3322, -81.6749)",18
64,AMJK,SW,W43B062,SYSCO JACKSONVILLE - 003,JACKSONVILLE,FL,14400.0,28,30.3322,-81.6749,"(30.3322, -81.6749)",18
65,AMJK,SW,W44A351,HUB INDUSTRIAL SUPPLY,LAKE CITY,FL,41475.0,25,30.1901,-82.6471,"(30.1901, -82.6471)",18
66,AMJK,SW,W36A514,"SOUTHEASTERN PAPER GROUP, INC.",LAKELAND,FL,11538.0,12,28.0557,-81.9545,"(28.0557, -81.9545)",16
67,AMJK,SW,WWCA863,"SOUTHEASTERN PAPER GROUP, INC.",LAKELAND,FL,11581.0,9,28.0557,-81.9545,"(28.0557, -81.9545)",16
68,AMJK,SW,WWCA962,MCLANE DC 06 OF LAKELAND,LAKELAND,FL,1488.0,4,28.0557,-81.9545,"(28.0557, -81.9545)",16
